2025-07-02 00:33:06.715 [main] INFO  com.itheima.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 17.0.14 with PID 38658 (/Users/zhoushihao/IdeaProjects/web-ai-project02/tlias-web-management/target/classes started by zhoushihao in /Users/zhoushihao/IdeaProjects/web-ai-project02)
2025-07-02 00:33:06.717 [main] INFO  com.itheima.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-02 00:33:07.180 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-02 00:33:07.185 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-02 00:33:07.186 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-07-02 00:33:07.186 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-07-02 00:33:07.204 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-02 00:33:07.205 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 473 ms
2025-07-02 00:33:07.524 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-07-02 00:33:07.543 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-02 00:33:07.549 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-02 00:33:07.555 [main] INFO  com.itheima.TliasWebManagementApplication - Started TliasWebManagementApplication in 0.97 seconds (process running for 1.283)
2025-07-02 00:33:08.134 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-02 00:33:08.134 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-02 00:33:08.134 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-02 00:33:08.135 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-07-02 00:33:08.291 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@19a99412
2025-07-02 00:33:08.292 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-02 00:33:32.363 [http-nio-8080-exec-1] INFO  com.itheima.controller.DeptController - 检索全部部门数据
2025-07-02 00:33:34.608 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController - 检索id为1的部门数据
2025-07-02 00:33:42.436 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController - 分页查询:null,null,null,1,20
2025-07-02 00:33:42.477 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:33:50.295 [http-nio-8080-exec-4] INFO  com.itheima.controller.EmpController - 分页查询:null,null,null,1,20
2025-07-02 00:33:50.303 [http-nio-8080-exec-4] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:01.257 [http-nio-8080-exec-5] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:01.269 [http-nio-8080-exec-5] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:02.079 [http-nio-8080-exec-6] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:02.086 [http-nio-8080-exec-6] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:02.229 [http-nio-8080-exec-7] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:02.236 [http-nio-8080-exec-7] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:02.388 [http-nio-8080-exec-8] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:02.393 [http-nio-8080-exec-8] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:02.555 [http-nio-8080-exec-9] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:02.561 [http-nio-8080-exec-9] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:02.715 [http-nio-8080-exec-10] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:02.719 [http-nio-8080-exec-10] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:10.059 [http-nio-8080-exec-1] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:10.065 [http-nio-8080-exec-1] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:10.214 [http-nio-8080-exec-2] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:10.220 [http-nio-8080-exec-2] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:34:10.373 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,20
2025-07-02 00:34:10.378 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:39:35.687 [http-nio-8080-exec-4] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,10
2025-07-02 00:39:35.698 [http-nio-8080-exec-4] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:39:36.808 [http-nio-8080-exec-5] INFO  com.itheima.controller.EmpController - 分页查询:2019-07-07,null,1,1,30
2025-07-02 00:39:36.815 [http-nio-8080-exec-5] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:39:38.181 [http-nio-8080-exec-6] INFO  com.itheima.controller.DeptController - 检索全部部门数据
2025-07-02 00:42:02.220 [http-nio-8080-exec-7] INFO  com.itheima.controller.EmpController - 分页查询:null,null,null,1,20
2025-07-02 00:42:02.228 [http-nio-8080-exec-7] INFO  com.itheima.controller.EmpController - 查询成功
2025-07-02 00:42:03.113 [http-nio-8080-exec-8] INFO  com.itheima.controller.DeptController - 检索全部部门数据
2025-07-02 01:09:03.111 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-02 01:09:03.119 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-02 01:09:03.125 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
